scoringPeriodId,Player,Position,Team,playerrosterslot,Actual,Predicted,ActualMinusPredicted,SlottedPosition,Starter
2,49ers D/ST,Defense,NA,NA,14.2,12.333198018000001,1.8668019819999984,NA,Starter
3,49ers D/ST,Defense,Soup_du Jour,16,13,15.971158612999998,-2.9711586129999983,Defense,Starter
5,49ers D/ST,Defense,Pre-Snap_Adjustment,16,23.8,13.257131992000001,10.542868008,Defense,Starter
6,49ers D/ST,Defense,Pre-Snap_Adjustment,16,18.2,11.140030613000002,7.059969386999997,Defense,Starter
7,49ers D/ST,Defense,Pre-Snap_Adjustment,16,22,17.285772049000002,4.714227950999998,Defense,Starter
8,49ers D/ST,Defense,Pre-Snap_Adjustment,16,18.6,14.046333659,4.553666341000001,Defense,Starter
9,49ers D/ST,Defense,Pre-Snap_Adjustment,16,9,15.638098278,-6.638098277999999,Defense,Starter
10,49ers D/ST,Defense,Pre-Snap_Adjustment,16,22.6,13.650626026000001,8.949373974,Defense,Starter
11,49ers D/ST,Defense,Pre-Snap_Adjustment,16,18.6,17.546291271999998,1.0537087280000037,Defense,Starter
12,49ers D/ST,Defense,Pre-Snap_Adjustment,16,17.8,14.093294406,3.7067055940000007,Defense,Starter
7,A.J. Brown,Wide Receiver,NA,NA,9.2,6.266977515000001,2.9330224849999986,NA,Starter
8,A.J. Brown,Wide Receiver,Soup_du Jour,23,8.1,8.56746892,-0.46746891999999995,Flex,Starter
9,A.J. Brown,Wide Receiver,Soup_du Jour,20,10.1,7.9637348221,2.1362651778999995,Bench,Bench
10,A.J. Brown,Wide Receiver,Soup_du Jour,4,2.2,9.6083639804,-7.4083639804,Wide Receiver,Starter
11,A.J. Brown,Wide Receiver,Soup_du Jour,20,NA,0,NA,Bench,Bench
12,A.J. Brown,Wide Receiver,Soup_du Jour,20,21.5,7.4458165657,14.0541834343,Bench,Bench
1,A.J. Green,Wide Receiver,Breaston_Plants Inc,21,0,0,0,IR,Bench
2,A.J. Green,Wide Receiver,Breaston_Plants Inc,21,0,0,0,IR,Bench
3,A.J. Green,Wide Receiver,Breaston_Plants Inc,21,0,0,0,IR,Bench
4,A.J. Green,Wide Receiver,Breaston_Plants Inc,21,0,0,0,IR,Bench
