awayid,awaypoints,homeid,homepoints,winner,weekID,AwayTeam,HomeTeam
3,94.66,9,108.94,The Peppy Kids,1,Heartbreak Kid,The Peppy Kids
6,124.52,10,117.32,Team Aponte,1,Team Aponte,Soup du Jour
4,108,8,96.64,Dillon Panthers,1,Dillon Panthers,Just Drew  It
1,112.62,5,95.4,NightTraen Reign,1,NightTraen Reign,B1G HAUS
2,75.16,12,149.2,Hart attack,1,Breaston Plants Inc,Hart attack
7,103.64,11,137.12,Easy As A Bisi,1,Pre-Snap Adjustment,Easy As A Bisi
8,92.52,9,135.68,The Peppy Kids,2,Just Drew  It,The Peppy Kids
3,99,10,93.84,Heartbreak Kid,2,Heartbreak Kid,Soup du Jour
4,131.86,7,105.92,Dillon Panthers,2,Dillon Panthers,Pre-Snap Adjustment
2,83.52,5,88.96,B1G HAUS,2,Breaston Plants Inc,B1G HAUS
1,89.22,11,133.26,Easy As A Bisi,2,NightTraen Reign,Easy As A Bisi
12,109.8,6,79.52,Hart attack,2,Hart attack,Team Aponte
10,103.66,5,143.44,B1G HAUS,3,Soup du Jour,B1G HAUS
12,91.1,7,87.98,Hart attack,3,Hart attack,Pre-Snap Adjustment
8,152.92,1,105.26,Just Drew  It,3,Just Drew  It,NightTraen Reign
2,99.1,11,89.64,Breaston Plants Inc,3,Breaston Plants Inc,Easy As A Bisi
6,155.44,9,113.98,Team Aponte,3,Team Aponte,The Peppy Kids
3,100.86,4,103.74,Dillon Panthers,3,Heartbreak Kid,Dillon Panthers
12,112.6,5,64.12,Hart attack,4,Hart attack,B1G HAUS
8,72.12,11,104.3,Easy As A Bisi,4,Just Drew  It,Easy As A Bisi
4,125.6,9,138.88,The Peppy Kids,4,Dillon Panthers,The Peppy Kids
6,91.8,7,84.5,Team Aponte,4,Team Aponte,Pre-Snap Adjustment
2,101.88,3,86.28,Breaston Plants Inc,4,Breaston Plants Inc,Heartbreak Kid
10,99.6,1,95.4,Soup du Jour,4,Soup du Jour,NightTraen Reign
12,132.12,10,138.06,Soup du Jour,5,Hart attack,Soup du Jour
3,191.42,5,86.94,Heartbreak Kid,5,Heartbreak Kid,B1G HAUS
11,107.84,4,119.12,Dillon Panthers,5,Easy As A Bisi,Dillon Panthers
8,54.64,6,118.24,Team Aponte,5,Just Drew  It,Team Aponte
1,74.94,9,110.04,The Peppy Kids,5,NightTraen Reign,The Peppy Kids
7,135.92,2,97,Pre-Snap Adjustment,5,Pre-Snap Adjustment,Breaston Plants Inc
3,98.6,8,55.72,Heartbreak Kid,6,Heartbreak Kid,Just Drew  It
2,76.02,6,95,Team Aponte,6,Breaston Plants Inc,Team Aponte
10,67.74,11,105.2,Easy As A Bisi,6,Soup du Jour,Easy As A Bisi
12,151.86,1,96.32,Hart attack,6,Hart attack,NightTraen Reign
4,140.7,5,103.82,Dillon Panthers,6,Dillon Panthers,B1G HAUS
7,123.22,9,140.84,The Peppy Kids,6,Pre-Snap Adjustment,The Peppy Kids
12,110.36,8,97.44,Hart attack,7,Hart attack,Just Drew  It
